AUID_ATTNS,Waterbody Type,Use,Use_Category,overallStatus,assessmentUnitName,locationDescription,waterSize,waterSizeUnits
AK_R_2040108_022,Freshwater,Human Health,5,Not Supporting,Wasilla Creek,"flows SW 23 mi. in Matanuska Valley to Palmer Slough,  11 mi. SW of Palmer, in Cook Inlet Lowlands",23.65,Miles
AK_R_2040108_022,Freshwater,Primary Contact Recreation,5,Not Supporting,Wasilla Creek,"flows SW 23 mi. in Matanuska Valley to Palmer Slough,  11 mi. SW of Palmer, in Cook Inlet Lowlands",23.65,Miles
AK_R_2040108_022,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Wasilla Creek,"flows SW 23 mi. in Matanuska Valley to Palmer Slough,  11 mi. SW of Palmer, in Cook Inlet Lowlands",23.65,Miles
AK_R_2040108_022,Freshwater,Water Supply,5,Not Supporting,Wasilla Creek,"flows SW 23 mi. in Matanuska Valley to Palmer Slough,  11 mi. SW of Palmer, in Cook Inlet Lowlands",23.65,Miles
AK_R_2040108_022,Freshwater streams and rivers,Water Supply,5,Not Supporting,Wasilla Creek,"flows SW 23 mi. in Matanuska Valley to Palmer Slough,  11 mi. SW of Palmer, in Cook Inlet Lowlands",23.65,Miles
AK_R_2050512_016_003,Freshwater,Aquatic Life,5,Not Supporting,Little Susitna River,"heads at Mint Glacier in Talkeetna Mtns., at 61/51/30N/149/03/30W, flows SW 110 miles to Cook Inlet, 13 miles W of Anchorage (logged into ADB with lat/longs for the mouth of the river)",3.43,Miles
AK_R_2050512_016_003,Freshwater,Primary Contact Recreation,5,Not Supporting,Little Susitna River,"heads at Mint Glacier in Talkeetna Mtns., at 61/51/30N/149/03/30W, flows SW 110 miles to Cook Inlet, 13 miles W of Anchorage (logged into ADB with lat/longs for the mouth of the river)",3.43,Miles
AK_R_2050512_016_003,Freshwater,Secondary Contact Recreation,5,Not Supporting,Little Susitna River,"heads at Mint Glacier in Talkeetna Mtns., at 61/51/30N/149/03/30W, flows SW 110 miles to Cook Inlet, 13 miles W of Anchorage (logged into ADB with lat/longs for the mouth of the river)",3.43,Miles
AK_R_2050512_016_003,Freshwater,Water Supply,5,Not Supporting,Little Susitna River,"heads at Mint Glacier in Talkeetna Mtns., at 61/51/30N/149/03/30W, flows SW 110 miles to Cook Inlet, 13 miles W of Anchorage (logged into ADB with lat/longs for the mouth of the river)",3.43,Miles
AK_R_2050512_016_005,Freshwater,Aquatic Life,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.626459N, -149.806021W",9.96,Miles
AK_R_2050512_016_005,Freshwater,Human Health,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.626459N, -149.806021W",9.96,Miles
AK_R_2050512_016_005,Freshwater,Primary Contact Recreation,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.626459N, -149.806021W",9.96,Miles
AK_R_2050512_016_005,Freshwater,Secondary Contact Recreation,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.626459N, -149.806021W",9.96,Miles
AK_R_2050512_016_005,Freshwater,Water Supply,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.626459N, -149.806021W",9.96,Miles
AK_R_2050512_016_005,Freshwater streams and rivers,Water Supply,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.626459N, -149.806021W",9.96,Miles
AK_R_2050512_016_009,Freshwater,Aquatic Life,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.716906N, -149.2316W",9.96,Miles
AK_R_2050512_016_009,Freshwater,Human Health,5,Not Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.716906N, -149.2316W",9.96,Miles
AK_R_2050512_016_009,Freshwater,Primary Contact Recreation,2,Fully Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.716906N, -149.2316W",9.96,Miles
AK_R_2050512_016_009,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.716906N, -149.2316W",9.96,Miles
AK_R_2050512_016_009,Freshwater,Water Supply,2,Fully Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.716906N, -149.2316W",9.96,Miles
AK_R_2050512_016_009,Freshwater streams and rivers,Water Supply,2,Fully Supporting,Little Susitna River,"HUC10 1902050512, monitoring location at 61.716906N, -149.2316W",9.96,Miles
AK_R_8030606_001,Freshwater,Aquatic Life,5,Not Supporting,Chena River,"HUC10 1908030606, monitoring location at 64.79441N, -147.191477W",56.43,Miles
AK_R_8030606_001,Freshwater,Human Health,5,Not Supporting,Chena River,"HUC10 1908030606, monitoring location at 64.79441N, -147.191477W",56.43,Miles
AK_R_8030606_001,Freshwater,Primary Contact Recreation,2,Fully Supporting,Chena River,"HUC10 1908030606, monitoring location at 64.79441N, -147.191477W",56.43,Miles
AK_R_8030606_001,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Chena River,"HUC10 1908030606, monitoring location at 64.79441N, -147.191477W",56.43,Miles
AK_R_8030606_001,Freshwater,Water Supply,5,Not Supporting,Chena River,"HUC10 1908030606, monitoring location at 64.79441N, -147.191477W",56.43,Miles
AK_R_8030606_001,Freshwater streams and rivers,Water Supply,5,Not Supporting,Chena River,"HUC10 1908030606, monitoring location at 64.79441N, -147.191477W",56.43,Miles
AK_R_8030609_003,Freshwater,Aquatic Life,5,Not Supporting,Chena River,Fairbanks; HUC: 19040506,19,Miles
AK_R_8030609_003,Freshwater,Human Health,5,Not Supporting,Chena River,Fairbanks; HUC: 19040506,19,Miles
AK_R_8030609_003,Freshwater,Primary Contact Recreation,2,Fully Supporting,Chena River,Fairbanks; HUC: 19040506,19,Miles
AK_R_8030609_003,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Chena River,Fairbanks; HUC: 19040506,19,Miles
AK_R_8030609_003,Freshwater,Water Supply,5,Not Supporting,Chena River,Fairbanks; HUC: 19040506,19,Miles
AK_R_8030609_003,Freshwater streams and rivers,Water Supply,5,Not Supporting,Chena River,Fairbanks; HUC: 19040506,19,Miles
AK_R_8030609_004_001,Freshwater,Aquatic Life,5,Not Supporting,Chena Slough (lower),Fairbanks; HUC: 19040506; lower Chena Slough from Richardson Highway crossing downstream to confluence with Chena River.,13.5,Miles
AK_R_8030609_004_001,Freshwater,Primary Contact Recreation,5,Not Supporting,Chena Slough (lower),Fairbanks; HUC: 19040506; lower Chena Slough from Richardson Highway crossing downstream to confluence with Chena River.,13.5,Miles
AK_R_8030609_004_001,Freshwater,Secondary Contact Recreation,5,Not Supporting,Chena Slough (lower),Fairbanks; HUC: 19040506; lower Chena Slough from Richardson Highway crossing downstream to confluence with Chena River.,13.5,Miles
AK_R_8030609_004_001,Freshwater,Water Supply,5,Not Supporting,Chena Slough (lower),Fairbanks; HUC: 19040506; lower Chena Slough from Richardson Highway crossing downstream to confluence with Chena River.,13.5,Miles
AK_R_8030609_004_001,Freshwater streams and rivers,Water Supply,5,Not Supporting,Chena Slough (lower),Fairbanks; HUC: 19040506; lower Chena Slough from Richardson Highway crossing downstream to confluence with Chena River.,13.5,Miles
AK_R_8030710_005,Freshwater,Aquatic Life,3,Not Assessed,Pile Driver Slough,"Trib. Of Tanana River W of Eielson AFB, flows through Eielson AG project.",16,Miles
AK_R_8030710_005,Freshwater,Primary Contact Recreation,3,Not Assessed,Pile Driver Slough,"Trib. Of Tanana River W of Eielson AFB, flows through Eielson AG project.",16,Miles
AK_R_8030710_005,Freshwater,Secondary Contact Recreation,3,Not Assessed,Pile Driver Slough,"Trib. Of Tanana River W of Eielson AFB, flows through Eielson AG project.",16,Miles
AK_R_8030710_005,Freshwater,Water Supply,3,Not Assessed,Pile Driver Slough,"Trib. Of Tanana River W of Eielson AFB, flows through Eielson AG project.",16,Miles
AK_R_8040102_012_002,Freshwater,Aquatic Life,5,Not Supporting,Birch Creek (Ikheenjik River),"West of Mastadon Dome, interior Alaska. Flows southwest from the confluence of Eagle Creek and Gold Dust Creek to the confluence with Twelvemile Creek. Parallels the Steese Highway",8.06,Miles
AK_R_8040102_012_002,Freshwater,Primary Contact Recreation,5,Not Supporting,Birch Creek (Ikheenjik River),"West of Mastadon Dome, interior Alaska. Flows southwest from the confluence of Eagle Creek and Gold Dust Creek to the confluence with Twelvemile Creek. Parallels the Steese Highway",8.06,Miles
AK_R_8040102_012_002,Freshwater,Secondary Contact Recreation,5,Not Supporting,Birch Creek (Ikheenjik River),"West of Mastadon Dome, interior Alaska. Flows southwest from the confluence of Eagle Creek and Gold Dust Creek to the confluence with Twelvemile Creek. Parallels the Steese Highway",8.06,Miles
AK_R_8040102_012_002,Freshwater,Water Supply,5,Not Supporting,Birch Creek (Ikheenjik River),"West of Mastadon Dome, interior Alaska. Flows southwest from the confluence of Eagle Creek and Gold Dust Creek to the confluence with Twelvemile Creek. Parallels the Steese Highway",8.06,Miles
AK_B_1010204_001,Marine,Aquatic Life,5,Not Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_001,Marine,Primary Contact Recreation,5,Not Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_001,Marine,Secondary Contact Recreation,2,Fully Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_001,Marine,Water Supply,5,Not Supporting,Refuge Cove Beach,"Refuge Cove, located in Ketchikan within the Refuge Cove Recreation Site",0.44,Miles
AK_B_1010204_002,Marine,Aquatic Life,5,Not Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010204_002,Marine,Primary Contact Recreation,5,Not Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010204_002,Marine,Secondary Contact Recreation,5,Not Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010204_002,Marine,Water Supply,5,Not Supporting,Rotary Park Beach,Located in southern Ketchikan at Rotary Park,0.16,Miles
AK_B_1010204_003,Marine,Aquatic Life,5,Not Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_003,Marine,Primary Contact Recreation,5,Not Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_003,Marine,Secondary Contact Recreation,5,Not Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_003,Marine,Water Supply,5,Not Supporting,Rotary Pool,Located in southern Ketchikan at Rotary Park,0.14,Miles
AK_B_1010204_004,Marine,Aquatic Life,5,Not Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_004,Marine,Primary Contact Recreation,5,Not Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_004,Marine,Secondary Contact Recreation,2,Fully Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_004,Marine,Water Supply,5,Not Supporting,Seaport Beach,Located in Saxman within Ketchikan,0.22,Miles
AK_B_1010204_005,Marine,Aquatic Life,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_005,Marine,Primary Contact Recreation,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_005,Marine,Secondary Contact Recreation,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_005,Marine,Water Supply,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_006,Marine,Aquatic Life,5,Not Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_006,Marine,Primary Contact Recreation,5,Not Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_006,Marine,Secondary Contact Recreation,2,Fully Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_006,Marine,Water Supply,5,Not Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_007,Marine,Aquatic Life,5,Not Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
AK_B_1010204_007,Marine,Primary Contact Recreation,5,Not Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
AK_B_1010204_007,Marine,Secondary Contact Recreation,2,Fully Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
AK_B_1010204_007,Marine,Water Supply,5,Not Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
AK_B_1010204_008,Marine,Aquatic Life,5,Not Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1010204_008,Marine,Primary Contact Recreation,5,Not Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1010204_008,Marine,Secondary Contact Recreation,2,Fully Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1010204_008,Marine,Water Supply,5,Not Supporting,Thomas Basin Harbor,"Thomas Basin Harbor, located in Ketchikan within the South Refuge Cove Recreation Site",0.47,Miles
AK_B_1021109_001,Marine,Aquatic Life,2,Fully Supporting,NA,NA,NA,NA
AK_B_1021109_001,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_B_1021109_001,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_B_1021109_001,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_B_1021109_003,Marine,Aquatic Life,5,Not Supporting,NA,NA,NA,NA
AK_B_1021109_003,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_B_1021109_003,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_B_1021109_003,Marine,Water Supply,5,Not Supporting,NA,NA,NA,NA
AK_L_2030212_001,Freshwater,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_L_2030212_001,Freshwater,Human Health,3,Not Assessed,NA,NA,NA,NA
AK_L_2030212_001,Freshwater,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_L_2030212_001,Freshwater,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_L_2030212_001,Freshwater,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_001,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_001,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_001,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_008,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_008,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_008,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1010207_008,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1020401_005,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1020401_005,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1020401_005,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1020401_005,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1020612_003,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1020612_003,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1020612_003,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1020612_003,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1021008_007,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1021008_007,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1021008_007,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1021008_007,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1021012_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1021012_001,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1021012_001,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1021012_001,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1021109_002,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1021109_002,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021109_002,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021109_002,Marine,Water Supply,5,Not Supporting,NA,NA,NA,NA
AK_M_1021109_005,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1021109_005,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021109_005,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021109_005,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021201_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1021201_001,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1021201_001,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1021201_001,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1021211_007,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1021211_007,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021211_007,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021211_007,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021212_012,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1021212_012,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021212_012,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1021212_012,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_1030106_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1030106_001,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1030106_001,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1030106_001,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_1030108_002,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1030108_002,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030108_002,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030108_002,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1030214_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1030214_001,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030214_001,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030214_001,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1030308_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1030308_001,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030308_001,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030308_001,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1030409_004,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1030409_004,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030409_004,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1030409_004,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1050002_002,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1050002_002,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1050002_002,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_1050002_002,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_1050005_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1050005_001,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1050005_001,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1050005_001,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1050006_004,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1050006_004,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1050006_004,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1050006_004,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_1050011_007,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_1050011_007,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1050011_007,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_1050011_007,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_2020205_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_2020205_001,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_2020205_001,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_2020205_001,Marine,Water Supply,5,Not Supporting,NA,NA,NA,NA
AK_M_2020206_011,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_2020206_011,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_2020206_011,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_2020206_011,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_2020302_015,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_2020302_015,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_2020302_015,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_2020302_015,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_2070115_011,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_2070115_011,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_2070115_011,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_2070115_011,Marine,Water Supply,5,Not Supporting,NA,NA,NA,NA
AK_M_2070115_016,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_2070115_016,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_2070115_016,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_2070115_016,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_3010208_006,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_3010208_006,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_3010208_006,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_3010208_006,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_5010416_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_5010416_001,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_5010416_001,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_5010416_001,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_M_5010417_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_5010417_001,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_5010417_001,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_5010417_001,Marine,Water Supply,5,Not Supporting,NA,NA,NA,NA
AK_M_5010420_001,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_5010420_001,Marine,Primary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_5010420_001,Marine,Secondary Contact Recreation,2,Fully Supporting,NA,NA,NA,NA
AK_M_5010420_001,Marine,Water Supply,2,Fully Supporting,NA,NA,NA,NA
AK_M_6020201_004,Marine,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_M_6020201_004,Marine,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_6020201_004,Marine,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_M_6020201_004,Marine,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_R_2050512_016_002,Freshwater,Aquatic Life,3,Not Assessed,NA,NA,NA,NA
AK_R_2050512_016_002,Freshwater,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_R_2050512_016_002,Freshwater,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_R_2050512_016_002,Freshwater,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_R_3020311_001_002,Freshwater,Aquatic Life,5,Not Supporting,NA,NA,NA,NA
AK_R_3020311_001_002,Freshwater,Human Health,3,Not Assessed,NA,NA,NA,NA
AK_R_3020311_001_002,Freshwater,Water Supply,3,Not Assessed,NA,NA,NA,NA
AK_R_9010501_004,Freshwater,Aquatic Life,5,Not Supporting,NA,NA,NA,NA
AK_R_9010501_004,Marine,Aquatic Life,5,Not Supporting,NA,NA,NA,NA
AK_R_9010501_004,Freshwater,Human Health,3,Not Assessed,NA,NA,NA,NA
AK_R_9010501_004,Freshwater,Primary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_R_9010501_004,Freshwater,Secondary Contact Recreation,3,Not Assessed,NA,NA,NA,NA
AK_R_9010501_004,Freshwater,Water Supply,5,Not Supporting,NA,NA,NA,NA
NA,NA,NA,NA,NA,EVOS beach (N Elrington Island),"Montague Strait area, Prince William Sound, west of LaTouche Island",0.49,Miles
NA,NA,NA,NA,NA,EVOS beach (NW LaTouche Island 2),"NW LaTouche Island, Montague Strait",0.86,Miles
NA,NA,NA,NA,NA,EVOS beach (NW LaTouche Island 3),"NW LaTouche Island, Montague Strait",0.29,Miles
NA,NA,NA,NA,NA,EVOS beach (N LaTouche Island 6),"N LaTouche Island, Montague Strait",0.46,Miles
NA,NA,NA,NA,NA,EVOS beach (N LaTouche Island 7),"N LaTouche Island, Montague Island",0.48,Miles
