Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes
Freshwater,Toxics,Endrin,ENDRIN,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Endrin,ENDRIN,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Endrin,ENDRIN,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Endrin,ENDRIN,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Endrin,ENDRIN,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Endrin Aldehyde,ENDRIN ALDEHYDE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Endrin Aldehyde,ENDRIN ALDEHYDE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ethylene Dibromide,ETHYLENE DIBROMIDE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Fluoranthene,FLUORANTHENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Fluoranthene,FLUORANTHENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Fluorene,FLUORENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Fluorene,FLUORENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Glyphosate,GLYPHOSATE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Gross alpha,#N/A,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Gross beta,#N/A,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Guthion,Azinphos-methyl,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Guthion,Azinphos-methyl,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Halocetic Acids (HAA5)(five),Haloacetic acids,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Heptachlor,HEPTACHLOR,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Heptachlor,HEPTACHLOR,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Heptachlor,HEPTACHLOR,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Heptachlor,HEPTACHLOR,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Heptachlor,HEPTACHLOR,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Heptachlor Epoxide,HEPTACHLOR EPOXIDE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Heptachlor Epoxide,HEPTACHLOR EPOXIDE,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Heptachlor Epoxide,HEPTACHLOR EPOXIDE,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Heptachlor Epoxide,HEPTACHLOR EPOXIDE,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Heptachlor Epoxide,HEPTACHLOR EPOXIDE,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Hexachloro-benzene,HEXACHLOROBENZENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Hexachloro-cyclopentadiene,HEXACHLOROCYCLOPENTADIENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Hexachloro-cyclopentadiene,HEXACHLOROCYCLOPENTADIENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Hexachloro-cyclopentadiene,HEXACHLOROCYCLOPENTADIENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Lindane (gamma-BHC),Lindane,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Lindane (gamma-BHC),Lindane,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Lindane (gamma-BHC),Lindane,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Lithium,LITHIUM,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Malathion,MALATHION,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Malathion,MALATHION,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Methoxychlor,METHOXYCHLOR,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Methoxychlor,METHOXYCHLOR,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Methoxychlor,METHOXYCHLOR,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Methyl Bromide,METHYL BROMIDE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Methyl Bromide,METHYL BROMIDE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Methyl-4, 6-dinitrophenol, 2-","4,6-Dinitro-o-cresol",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Methyl-4, 6-dinitrophenol, 2-","4,6-Dinitro-o-cresol",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Methylene Chloride (Dichloromethane),Methylene chloride,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mirex,MIREX,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Mirex,MIREX,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Molybdenum,MOLYBDENUM,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Monochloro-benzene,Chlorobenzene,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nitrobenzene,NITROBENZENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nitrobenzene,NITROBENZENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nonylphenol,NONYLPHENOL,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nonylphenol,NONYLPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Nonylphenol,NONYLPHENOL,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Nonylphenol,NONYLPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Oxamyl (Vydate),Oxamyl,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Parathion,PARATHION,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Parathion,PARATHION,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Pentachloro-benzene,PENTACHLOROBENZENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Pentachloro-benzene,PENTACHLOROBENZENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Pentachloro-phenol,PENTACHLOROPHENOL,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Pentachloro-phenol,PENTACHLOROPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Pentachloro-phenol,PENTACHLOROPHENOL,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Pentachloro-phenol,PENTACHLOROPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Phenol,PHENOL,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Phenol,PHENOL,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Picloram,PICLORAM,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Polychlorinated Biphenyls (PCBs),Polychlorinated biphenyls,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Polychlorinated Biphenyls (PCBs),Polychlorinated biphenyls,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Polychlorinated Biphenyls (PCBs),Polychlorinated biphenyls,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Pyrene,PYRENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Pyrene,PYRENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Radium-226 and -228 (combined),Radium-226/228,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Simazine,SIMAZINE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Styrene,STYRENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Tetrachloro-ethylene,TETRACHLOROETHYLENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Thallium,THALLIUM,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Thallium,THALLIUM,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Thallium,THALLIUM,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toluene,TOLUENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toluene,TOLUENE,Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toluene,TOLUENE,Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Total Trihalomethanes,"TRIHALOMETHANES (FOUR), TOTAL",Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toxaphene,TOXAPHENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toxaphene,TOXAPHENE,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toxaphene,TOXAPHENE,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Toxaphene,TOXAPHENE,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Toxaphene,TOXAPHENE,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,Tributyltin (TBT),TRIBUTYLIN,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Tributyltin (TBT),TRIBUTYLIN,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Marine,Toxics,Tributyltin (TBT),TRIBUTYLIN,Dissolved,Aquatic Life,,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Tributyltin (TBT),TRIBUTYLIN,Dissolved,Aquatic Life,,Chronic,2 years,10,,CALM,
Freshwater,Toxics,"Trichlorobenzene 1, 2, 4-","1,2,4-TRICHLOROBENZENE",Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Trichlorobenzene 1, 2, 4-","1,2,4-TRICHLOROBENZENE",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Trichlorobenzene 1, 2, 4-","1,2,4-TRICHLOROBENZENE",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Trichloroethane 1, 1, 1-","1,1,1-TRICHLOROETHANE",Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Trichloroethane 1, 1, 2-","1,1,2-TRICHLOROETHANE",Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Trichloro-ethylene,TRICHLOROETHYLENE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Trichlorophenol 2, 4, 5-","2,4,5-TRICHLOROPHENOL",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Trichlorophenol 2, 4, 5-","2,4,5-TRICHLOROPHENOL",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"(Trichloro-phenoxy 2, 4, 5-TP)-Proprionic Acid (2, 4, 5-TP)",Silvex,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Tritium,TRITIUM,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Uranium,URANIUM,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Vanadium,VANADIUM,Dissolved,Water Supply,Irrigation,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Vinyl Chloride,VINYL CHLORIDE,Dissolved,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chlordane,CHLORDANE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chlordane,CHLORDANE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Chloropyrifos,Chlorpyrifos,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Chloropyrifos,Chlorpyrifos,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"DDT, 4,4'-","p,p'-DDT",Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,"DDT, 4,4'-","p,p'-DDT",Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Demeton,DEMETON,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Demeton,DEMETON,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Diazinon,DIAZINON,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Diazinon,DIAZINON,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Dieldrin,DIELDRIN,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Dieldrin,DIELDRIN,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Endrin,ENDRIN,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Endrin,ENDRIN,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Guthion,Azinphos-methyl,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Guthion,Azinphos-methyl,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Heptachlor,HEPTACHLOR,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Heptachlor,HEPTACHLOR,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Heptachlor Epoxide,HEPTACHLOR EPOXIDE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Heptachlor Epoxide,HEPTACHLOR EPOXIDE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Malathion,MALATHION,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Malathion,MALATHION,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Methoxychlor,METHOXYCHLOR,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Methoxychlor,METHOXYCHLOR,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mirex,MIREX,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Mirex,MIREX,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nonylphenol,NONYLPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Nonylphenol,NONYLPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Parathion,PARATHION,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Pentachloro-phenol,PENTACHLOROPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Pentachloro-phenol,PENTACHLOROPHENOL,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Polychlorinated Biphenyls (PCBs),Polychlorinated biphenyls,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Polychlorinated Biphenyls (PCBs),Polychlorinated biphenyls,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toxaphene,TOXAPHENE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Toxaphene,TOXAPHENE,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Tributyltin (TBT),TRIBUTYLIN,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Tributyltin (TBT),TRIBUTYLIN,Dissolved,Aquatic Life,,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichloropropene 1, 3-","1,3-DICHLOROPROPENE",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichloropropene 1, 3-","1,3-DICHLOROPROPENE",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Fresh,Petroleum Hydrocarbons,Total aqueous hydrocarbons,#N/A,Total,Water Supply,Aquaculture,,2 years,20,,Petroleum hydrocarbons,
Fresh,Petroleum Hydrocarbons,Total aromatic hydrocarbons,#N/A,Total,Water Supply,Aquaculture,,2 years,20,,Petroleum hydrocarbons,
Marine,Petroleum Hydrocarbons,Total aqueous hydrocarbons,#N/A,Total,Water Supply,Aquaculture,,2 years,20,,Petroleum hydrocarbons,
Marine,Petroleum Hydrocarbons,Total aromatic hydrocarbons,#N/A,Total,Water Supply,Aquaculture,,2 years,20,,Petroleum hydrocarbons,
Freshwater,Turbidity,Turbidity,TURBIDITY,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Freshwater,Turbidity,Turbidity,TURBIDITY,,Secondary Contact Recreation,,,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Freshwater,Turbidity,Turbidity,TURBIDITY,,Water Supply,Aquaculture,,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Freshwater,Turbidity,Turbidity,TURBIDITY,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Marine,Turbidity,Turbidity,TURBIDITY,,Water Supply,Aquaculture,,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Marine,Turbidity,Turbidity,TURBIDITY,,Primary Contact Recreation,,,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Marine,Turbidity,Turbidity,TURBIDITY,,Secondary Contact Recreation,,,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Marine,Petroleum Hydrocarbons,Total aqueous hydrocarbons,#N/A,Total,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,20,,Petroleum hydrocarbons,
Marine,Petroleum Hydrocarbons,Total aromatic hydrocarbons,#N/A,Total,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,20,,Petroleum hydrocarbons,
Freshwater,Toxics,"Tetrachlorobenzene, 1, 2, 4, 5-","1,2,4,5-TETRACHLOROBENZENE",Dissolved,Human Health,Water and Aquatic Organisms,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Tetrachlorobenzene, 1, 2, 4, 5-","1,2,4,5-TETRACHLOROBENZENE",Dissolved,Human Health,Aquatic Organisms Only,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
